1K	1W	st'	2K	2A	2W	2R	2H	2M	2B	2G	st''	->	opt_action
0		1		-		0		0		0		4		8		0		0		0		-		->		p1_W_R
0		1		-		0		0		0		4		9		0		0		0		-		->		p1_W_R
0		1		-		0		0		0		4		10	0		0		0		-		->		p1_W_R
0		1		-		0		0		0		5		0		0		0		0		-		->		p1_W_R
0		1		-		0		0		0		5		1		0		0		0		-		->		p1_W_H
0		1		-		0		0		0		5		2		0		0		0		-		->		p1_W_H
0		1		-		0		0		0		5		3		0		0		0		-		->		p1_W_H
0		1		-		0		0		0		5		4		0		0		0		-		->		p1_W_H
0		1		-		0		0		0		5		5		0		0		0		-		->		p1_W_H
0		1		-		0		0		0		5		6		0		0		0		-		->		p1_W_H
0		1		-		0		0		0		5		7		0		0		0		-		->		p1_W_H
0		1		-		0		0		0		5		8		0		0		0		-		->		p1_W_H
0		1		-		0		0		0		5		9		0		0		0		-		->		p1_W_R
0		1		-		0		0		0		5		10	0		0		0		-		->		p1_W_R
0		1		-		0		0		0		6		0		0		0		0		-		->		p1_W_R
0		1		-		0		0		0		6		0		0		0		2		-		->		p1_W_G
