1R	1B	st'	2K	2A	2W	2R	2H	2M	2B	2G	st''	->	opt_action
0		1		-		0		0		0		0		8		0		5		0		-		->		p1_B_Hr
0		1		-		0		0		0		0		8		0		6		0		-		->		p1_B_Hr
0		1		-		0		0		0		0		8		0		7		0		-		->		p1_B_Hr
0		1		-		0		0		0		0		8		0		8		0		-		->		p1_B_Hr
0		1		-		0		0		0		0		8		0		9		0		-		->		p1_B_Hr
0		1		-		0		0		0		0		8		0		10	0		-		->		p1_B_Hr
0		1		-		0		0		0		0		8		1		0		0		-		->		p1_B_Hr
0		1		-		0		0		0		0		8		2		0		0		-		->		p1_B_Hr
0		1		-		0		0		0		0		8		3		0		0		-		->		p1_B_Hr
0		1		-		0		0		0		0		8		4		0		0		-		->		p1_B_Hr
0		1		-		0		0		0		0		8		5		0		0		-		->		p1_B_Hr
0		1		-		0		0		0		0		8		6		0		0		-		->		p1_B_Hr
0		1		-		0		0		0		0		8		7		0		0		-		->		p1_B_Hr
0		1		-		0		0		0		0		9		0		0		0		-		->		p1_B_Hr
0		1		-		0		0		0		0		9		0		0		1		-		->		p1_B_Gr
0		1		-		0		0		0		0		9		0		0		2		-		->		p1_B_Gr
0		1		-		0		0		0		0		9		0		0		3		-		->		p1_B_Gr
0		1		-		0		0		0		0		9		0		0		4		-		->		p1_B_Gr
0		1		-		0		0		0		0		9		0		0		5		-		->		p1_B_Gr
0		1		-		0		0		0		0		9		0		0		6		-		->		p1_B_Hr
0		1		-		0		0		0		0		9		0		0		7		-		->		p1_B_Hr
0		1		-		0		0		0		0		9		0		0		8		-		->		p1_B_Hr
0		1		-		0		0		0		0		9		0		1		0		-		->		p1_B_Hr
0		1		-		0		0		0		0		9		0		2		0		-		->		p1_B_Hr
0		1		-		0		0		0		0		9		0		3		0		-		->		p1_B_Hr
0		1		-		0		0		0		0		9		0		4		0		-		->		p1_B_Hr
0		1		-		0		0		0		0		9		0		5		0		-		->		p1_B_Hr
0		1		-		0		0		0		0		9		0		6		0		-		->		p1_B_Hr
0		1		-		0		0		0		0		9		0		7		0		-		->		p1_B_Hr
0		1		-		0		0		0		0		9		0		8		0		-		->		p1_B_Hr
0		1		-		0		0		0		0		9		0		9		0		-		->		p1_B_Hr
0		1		-		0		0		0		0		9		0		10	0		-		->		p1_B_Hr
0		1		-		0		0		0		0		9		1		0		0		-		->		p1_B_Hr
0		1		-		0		0		0		0		9		2		0		0		-		->		p1_B_Hr
0		1		-		0		0		0		0		9		3		0		0		-		->		p1_B_Hr
0		1		-		0		0		0		0		9		4		0		0		-		->		p1_B_Hr
0		1		-		0		0		0		0		9		5		0		0		-		->		p1_B_Hr
0		1		-		0		0		0		0		9		6		0		0		-		->		p1_B_Hr
0		1		-		0		0		0		0		9		7		0		0		-		->		p1_B_Hr
0		1		-		0		0		0		0		10	0		0		0		-		->		p1_B_Hr
0		1		-		0		0		0		0		10	0		0		1		-		->		p1_B_Gr
0		1		-		0		0		0		0		10	0		0		2		-		->		p1_B_Gr
0		1		-		0		0		0		0		10	0		0		3		-		->		p1_B_Gr
0		1		-		0		0		0		0		10	0		0		4		-		->		p1_B_Gr
0		1		-		0		0		0		0		10	0		0		5		-		->		p1_B_Gr
0		1		-		0		0		0		0		10	0		0		6		-		->		p1_B_Hr
0		1		-		0		0		0		0		10	0		0		7		-		->		p1_B_Hr
0		1		-		0		0		0		0		10	0		0		8		-		->		p1_B_Hr
0		1		-		0		0		0		0		10	0		1		0		-		->		p1_B_Hr
0		1		-		0		0		0		0		10	0		2		0		-		->		p1_B_Hr
0		1		-		0		0		0		0		10	0		3		0		-		->		p1_B_Hr
0		1		-		0		0		0		0		10	0		4		0		-		->		p1_B_Hr
0		1		-		0		0		0		0		10	0		5		0		-		->		p1_B_Hr
0		1		-		0		0		0		0		10	0		6		0		-		->		p1_B_Hr
0		1		-		0		0		0		0		10	0		7		0		-		->		p1_B_Hr
0		1		-		0		0		0		0		10	0		8		0		-		->		p1_B_Hr
0		1		-		0		0		0		0		10	0		9		0		-		->		p1_B_Hr
0		1		-		0		0		0		0		10	0		10	0		-		->		p1_B_Hr
0		1		-		0		0		0		0		10	1		0		0		-		->		p1_B_Hr
0		1		-		0		0		0		0		10	2		0		0		-		->		p1_B_Hr
0		1		-		0		0		0		0		10	3		0		0		-		->		p1_B_Hr
0		1		-		0		0		0		0		10	4		0		0		-		->		p1_B_Hr
0		1		-		0		0		0		0		10	5		0		0		-		->		p1_B_Hr
0		1		-		0		0		0		0		10	6		0		0		-		->		p1_B_Hr
0		1		-		0		0		0		0		10	7		0		0		-		->		p1_B_Hr
0		1		-		0		0		0		1		0		0		0		0		-		->		p1_B_Rr
0		1		-		0		0		0		1		1		0		0		0		-		->		p1_B_Hr
0		1		-		0		0		0		1		2		0		0		0		-		->		p1_B_Hr
0		1		-		0		0		0		1		3		0		0		0		-		->		p1_B_Hr
0		1		-		0		0		0		1		4		0		0		0		-		->		p1_B_Hr
0		1		-		0		0		0		1		5		0		0		0		-		->		p1_B_Hr
0		1		-		0		0		0		1		6		0		0		0		-		->		p1_B_Hr
0		1		-		0		0		0		1		7		0		0		0		-		->		p1_B_Hr
0		1		-		0		0		0		1		8		0		0		0		-		->		p1_B_Hr
0		1		-		0		0		0		1		9		0		0		0		-		->		p1_B_Hr
0		1		-		0		0		0		1		10	0		0		0		-		->		p1_B_Hr
0		1		-		0		0		0		2		0		0		0		0		-		->		p1_B_Rr
0		1		-		0		0		0		2		0		0		0		2		-		->		p1_B_Gr
0		1		-		0		0		0		2		0		0		0		3		-		->		p1_B_Gr
0		1		-		0		0		0		2		0		0		0		5		-		->		p1_B_Gr
0		1		-		0		0		0		2		0		0		0		8		-		->		p1_B_Rr
0		1		-		0		0		0		2		0		0		2		0		-		->		p1_B_Rr
0		1		-		0		0		0		2		0		0		4		0		-		->		p1_B_Rr
0		1		-		0		0		0		2		0		0		5		0		-		->		p1_B_Rr
0		1		-		0		0		0		2		0		0		7		0		-		->		p1_B_Rr
0		1		-		0		0		0		2		0		0		10	0		-		->		p1_B_Rr
0		1		-		0		0		0		2		0		1		0		0		-		->		p1_B_Mr
0		1		-		0		0		0		2		0		2		0		0		-		->		p1_B_Mr
0		1		-		0		0		0		2		0		4		0		0		-		->		p1_B_Mr
0		1		-		0		0		0		2		0		7		0		0		-		->		p1_B_Mr
0		1		-		0		0		0		2		1		0		0		0		-		->		p1_B_Hr
0		1		-		0		0		0		2		2		0		0		0		-		->		p1_B_Hr
0		1		-		0		0		0		2		3		0		0		0		-		->		p1_B_Hr
