([40, 30, 0.6499999999999999, 1],)::	KendalltauResult(correlation=-0.13725270326150324, pvalue=0.36861859214901105)
([40, 30, 0.7, 1],)::	KendalltauResult(correlation=-0.13725270326150324, pvalue=0.36861859214901105)
([40, 30, 0.7499999999999999, 1],)::	KendalltauResult(correlation=-0.13725270326150324, pvalue=0.36861859214901105)
([40, 30, 0.7999999999999998, 1],)::	KendalltauResult(correlation=-0.13725270326150324, pvalue=0.36861859214901105)
([40, 30, 0.8499999999999999, 1],)::	KendalltauResult(correlation=-0.13725270326150324, pvalue=0.36861859214901105)
([40, 30, 0.8999999999999999, 1],)::	KendalltauResult(correlation=-0.13725270326150324, pvalue=0.36861859214901105)
([40, 30, 0.95, 1],)::	KendalltauResult(correlation=-0.13725270326150324, pvalue=0.36861859214901105)
([2, 10, 0.2, 1],)::	KendalltauResult(correlation=-0.05627777476956578, pvalue=0.6878986052813827)
([2, 10, 0.2, 1],)::	KendalltauResult(correlation=-0.05627777476956578, pvalue=0.6878986052813827)
([2, 10, 0.2, 1],)::	KendalltauResult(correlation=0.27342845768763296, pvalue=0.0828907562219174)
([2, 10, 0.2, 1],)::	KendalltauResult(correlation=-0.13802105047654475, pvalue=0.32443796014949)
([2, 10, 0.2, 1],)::	KendalltauResult(correlation=0.027644991170301805, pvalue=0.8418181551983438)
([2, 10, 0.2, 1],)::	KendalltauResult(correlation=-0.05627777476956578, pvalue=0.6878986052813827)
([2, 10, 0.2, 1],)::	KendalltauResult(correlation=0.27342845768763296, pvalue=0.0828907562219174)
([2, 10, 0.2, 1],)::	KendalltauResult(correlation=-0.13802105047654475, pvalue=0.32443796014949)
([2, 10, 0.2, 1],)::	KendalltauResult(correlation=0.027644991170301805, pvalue=0.8418181551983438)
([2, 10, 0.2, 1],)::	KendalltauResult(correlation=-0.13802105047654475, pvalue=0.32443796014949)
([2, 10, 0.2, 1],)::	KendalltauResult(correlation=0.027644991170301805, pvalue=0.8418181551983438)
([2, 10, 0.2, 1],)::	KendalltauResult(correlation=-0.13802105047654475, pvalue=0.32443796014949)
([2, 10, 0.2, 1],)::	KendalltauResult(correlation=-0.05627777476956578, pvalue=0.6878986052813827)
([2, 10, 0.2, 1],)::	KendalltauResult(correlation=-0.05627777476956578, pvalue=0.6878986052813827)
([2, 10, 0.2, 1],)::	KendalltauResult(correlation=-0.13802105047654475, pvalue=0.32443796014949)
([3, 10, 0.2, 1],)::	KendalltauResult(correlation=-0.0028213824634343936, pvalue=0.9839673787795448)
([3, 10, 0.2, 1],)::	KendalltauResult(correlation=0.07564895163187176, pvalue=0.5874732313766658)
([2, 10, 0.2, 1],)::	KendalltauResult(correlation=-0.05627777476956578, pvalue=0.6878986052813827)
([2, 10, 0.2, 1],)::	KendalltauResult(correlation=-0.13802105047654475, pvalue=0.32443796014949)
([2, 10, 0.2, 1],)::	KendalltauResult(correlation=-0.05627777476956578, pvalue=0.6878986052813827)
([2, 10, 0.2, 1],)::	KendalltauResult(correlation=-0.13802105047654475, pvalue=0.32443796014949)
([2, 10, 0.2, 1],)::	KendalltauResult(correlation=-0.05627777476956578, pvalue=0.6878986052813827)
([2, 10, 0.2, 1],)::	KendalltauResult(correlation=-0.13802105047654475, pvalue=0.32443796014949)
([2, 10, 0.2, 1],)::	KendalltauResult(correlation=-0.05627777476956578, pvalue=0.6878986052813827)
([2, 10, 0.2, 1],)::	KendalltauResult(correlation=-0.05627777476956578, pvalue=0.6878986052813827)
([2, 10, 0.2, 1],)::	KendalltauResult(correlation=-0.13802105047654475, pvalue=0.32443796014949)
([2, 10, 0.2, 1],)::	KendalltauResult(correlation=-0.13802105047654475, pvalue=0.32443796014949)
